Geosas Piotr Sasin #         geosas@wp.pl     #502 248 931
Zbigniew Winnicki Usługi Geodezyjne #         wpz@poczta.onet.pl     #727 225 459
Geo Nord Jerzy Malinowski Zakład Usług Geodezyjnych #         geonord@gmail.com     #602 741 339
Geo-Tur FUH Juliusz Wojtiuk #         geotur@op.pl     #607 076 090
Ct Engineering Sp z oo #         biuro@ctengineering.pl     #601 383 354
Geomark Usługi Geodezyjne i Projektowe #         biuro@geomark.org     #601 801 566
PUI Iława Andrzej Dzieniszewski #         biuro@pui-ilawa.pl     #605 762 272
Miedza Usługi Geodezyjne Piotr Wesołowski #         biuro@miedza.eu     #503 738 383
Geotras Sp.j. Baczyński Krzysztof, Gaca Tomasz #         biuro@geotras.net     #(63) 277 10 05
Intergeo Przedsiębiorstwo Usług Geodezyjnych Michał Staszkiewicz #         intergeo@intergeo.ig.pl     #(33) 810 03 44
Grzegorz Wróblewski Usługi geodezyjne i kartograficzne #         wroblewskigrzegorz68@wp.pl     #600 354 597
GeoPatrol Paweł Brylowski geodeta Wejherowo pomorskie #         geopatrol4x4@wp.pl     #663 062 003
Geodeta #         kontakt@geodetamyslenice.pl     #515 259 504
Geonivel Usługi geodezyjne Leszek Murawski Geodeta, Geodezyjna Obsługa Inwestycji, Podział Nieruchomości #         biuro.geonivel@gmail.com     #663 549 674
Izabela Dąbrowska Biuro geodezyjno-projektowe #         bgpmogilno@wp.pl     #609 343 140
Pomiar Przemysław Bajstok #         pomiar-pbajstok@wp.pl     #604 205 776
Geogrunt Usługi Geodezyjne Paweł Lewicz #         geodeta.pawel.lewicz@gmail.com     #604 839 413
GEOMETRA Mariusz Oleksiak #         geometra.wyszkow@gmail.com     #512 741 018
Andrzej Bytniewski Pracownia Geodezyjna #         a.bytniewski@onet.pl     #506 078 664
Jmgeo Biuro Usług Geodezyjnych Mgr Inż. Jerzy Mazurkiewicz #         jmgeodezja@wp.pl     #604 609 276
Progeo Przedsiębiorstwo usługowo-produkcyjno-handlowe Spółka z ograniczoną odpowiedzialnością #         progeo@progeo.pol.pl     #(32) 259 23 70
Pink Helmet Karolina Szuba #         biuro@pinkhelmet.pl     #516 289 995
Usługi Geodezyjne Kamil Wołoszyk #         biuro@woloszykgeodezja.pl     #665 232 901
Geodeta Wiesław Karczewski #         geo_kart@interia.pl     #600 203 787
Adam Brodawka Usługi Geodezyjne Geonet s.c. #         geonet@vp.pl     #601 184 928
Kera Usługi geodezyjne i kartograficzne Anna Kłysiak #         kera.geodezja@gmail.com     #509 924 717
Geo-Bart Piotr Bartel #         geobart@op.pl     #604 247 922
Geo-Rol Zakład usług geodezyjno kartograficznych s.c. Wojciech Machnik, Roman Kolondra #         georol@georol.pl     #605 684 252
Biuro Geodezji i Nieruchomości Marcin Kuczkowski #         geodezja_kuczkowski@wp.pl     #516 142 950
Geomiar Usługi Geodezyjne Katarzyna Matys #         radoslaw_matys@wp.pl     #515 161 428
Excentr Biuro Usług Geodezyjnych i Kartograficznych Paweł Zarębski #         excentr@wp.pl     #601 991 384
Geoprojekt Usługi Geodezyjne Piotr Bodnar #         pb.geoprojekt@gmail.com     #602 174 570
Geonet Geodezja, nieruchomości, projekty Wojciech Kruk #         biuro@geodezja-tluszcz.pl     #504 100 084
Krzysztof Konopko Usługi Geodezyjne #         k.konopko@op.pl     #604 990 641
Geokraft Jacek Mizura #         geokraft@wp.pl     #506 810 379
Geodezja-Projekt Biuro Usług Geodezyjnych i Projektowych Janusz Chodorowski #         geodezja-projekt@wp.pl     #603 769 942
Geototal Sp. z o.o. Sp.k. Geodezja Inwestycje Mapy #         biuro@geototal.com.pl     #(91) 434 11 67
Tadeusz Bober Usługi Geodezyjno-Kartograficzne i Budownictwo #         bobergeodezja@wp.pl     #500 287 130
Megasystem Sp. z o.o. Przedsiębiorstwo usług inżynieryjnych #         megasystem@megasystem.krakow.pl     #502 021 775
Geoteam Paweł Łabudziński Grzegorz Zieliński Łukasz Zięba s.c. #         biuro@geoteam.com.pl     #880 690 480
Geoprecyzja Usługi Geodezyjne Krystian Madejak #         geoprecyzja.km@gmail.com     #500 812 430
Gmp Geodezja Maciej Onopiuk #         info@gmpgeodezja.pl     #501 810 533
Mierniczyj Tomasz Niczyj Usługi Geodezyjne #         mierniczyj.geodezja@gmail.com     #784 039 261
Weartech Sp. z o.o. #         weartech@weartech.pro     #536 056 976
M-Geo Geodezja i Klasyfikacja Gruntów Anna i Piotr Mituta s.c. #         kontakt@mgeo-gorzow.pl     #600 044 147
Pin-Geo Borkowski Piotr #         pin-geo@wp.pl     #781 666 055
Kompas Usługi Geodezyjne Geodeta Łukasz Gwadera #         biuro@kompas3d.pl     #794 500 560
Gryzer Firma Usługowo-Handlowa Łukasz Milewski #         biuro@gryzer.com.pl     #508 359 077
Zakład Usług Geodezyjnych GEOMAP Grzegorz Wilk #         biuro@geodeta.stargard.pl     #605 281 693
Tomasz Wałachowski Usługi Geodezyjno-Kartograficzne #         twalachowski@wp.pl     #506 061 394
Bartłomiej Kozakiewicz Usługi geodezyjne i kartograficzne #         bkozakiewicz9@wp.pl     #697 892 026
Janusz Sowa Biuro geodezji i kartografii #         janusz_sowa@hotmail.com     #606 655 143
Mr Geodezja Usługi Geodezyjne Ryszard Marszał #         marshalrja@wp.pl     #667 944 766
Krzysztof Doleżych Usługi Geodezyjno-Kartograficzne #         geodezja.dolezych@gmail.com     #605 959 601
Zenit Usługi Geodezyjne Dagmara Buczkowska #         dagmarabuczkowska1@gmail.com     #604 885 777
Gpe Grzegorz Paruch #         gpe.biuro@gmail.com     #698 899 449
Geoida PHU Borchardt Łukasz #         geoida.chojnice@wp.pl     #698 852 067
Mors s.c. Bagiński Zdzisław, Bobiński Adam #         adam_bobinski@poczta.onet.pl     #606 763 409
Biuro Usług Geodezyjnych i Kartograficznych Geo-Alex s.c. W. Kasprzyk, B. Ziąbka, M. Kowalski #         biuro@geoalex.pl     #(42) 712 37 94
Marbo Geodezja i Nieruchomości Marcin Langos #         m.langos@interia.pl     #601 067 903
Bartosz Parfieniuk Usługi Geodezyjno-Kartograficzne #         parfieniuk.b@wp.pl     #792 992 270
Wasiak Daniel Usługi geodezyjne #         d.wasiak@wp.pl     #502 586 080
Krzysztof Radomski Zakład usługowy Trygon #         trygon_mikolow@interia.pl     #508 735 027
Inż. Patryk Janczak Usługi Geodezyjne #         janczakgeodezja@gmail.com     #726 691 054
Geodeta Uprawniony Szymon Popławski Usługi Geodezyjno-Kartograficzne - LIMES #         limes_ug@interia.pl     #501 620 799
Pryzmat Sp. z o.o. #         gpgpryzmat@data.pl     #502 633 315
Robgeo Wójtewicz Robert #         geodeta@robgeo.pl     #604 671 136
Clay Sand Marcin Rafał Kucharski #         clay.sand.2015@gmail.com     #601 597 167
Geoformat Usługi Geodezyjne Andrzej Zduniak #         geoformat@geoformat.pl     #601 620 056
Piotr Waligóra Geodezja #         geodezja.waligora@o2.pl     #512 209 371
Geo-Metr Biuro Usług Geodezyjno - Kartograficznych Marek Stachowski Geodeta Uprawniony #         biuro@geo-metr.pl     #604 904 843
Pracownia Geodezyjno-Kartograficzna Geo-Statim Ludwik Suchocki #         biuro@geo-statim.pl     #513 971 715
Twój Geodeta Usługi Geodezyjne Konrad Salamenta #         twojgeodeta@gmail.com     #791 338 880
Maciej Kozielczyk Kancelaria Geodezyjna #         maciej.kozielczyk@wp.pl     #601 666 069
Geo-Pomiar T&amp;W Tomasz Bodnar #         geo-pomiar.tw@wp.pl     #692 475 378
Igor Nowicki Usługi Geodezyjne i Kartograficzne #         ugikin@gmail.com     #503 560 636
Esgeo Sp. z o.o. #         s.czyrnek@gmail.com     #696 781 335
Multi Geo Plan Damian Nowak #         multigeoplan@onet.pl     #609 106 028
Geokar Krzysztof Ryszka #         geokar@onet.pl     #505 620 531
Geosat Stanisław Borys Dwornik #         geosat@geosat.com.pl     #607 658 898
Grzegorz Jońca mgr inż. Usługi Geodezyjne #         grzegorzjonca@gmail.com     #516 428 773
Geo-Bas Usługi Geodezyjne Basa M. mgr inż. #         geo_bas@list.pl     #600 259 944
Zenit Usługi Geodezyjne Sławomir Drobysz #         zenit.slawomirdrobysz@op.pl     #603 748 866
Zakład Usług Inżynierskich Inrel Sp. z o.o. Sp.k. #         grzegorz.kurpeta@inrel.pl     #728 349 954
GeoIdea Usługi Geodezyjno-Kartograficzne inż. Tadeusz Orłowski #         tadeusz.orlowski@op.pl     #692 415 532
Kargeo Usługi Geodezyjne Tomasz Karpiński #         geodezja@kargeo.pl     #509 869 368
Waldemar Tomasz Czarnecki Biuro geodezji #         grudziadz@geodezjawtc.pl     #(54) 288 32 75
Plan i Metr. Zakład usług geodezyjnych #         biuro@planimetr.szczecin.pl     #(91) 460 68 10
Geopomiar Szymon Litwiniuk #         szymonlitwiniuk@o2.pl     #510 144 637
Jarosław Żywczak Geodezja #         jaroslaw.zywczak@gmail.com     #600 164 230
Geo-Nieruchomości Biuro Geodezji i Obrotu Nieruchomości Mariusz Czekała #         geonieruchomosci@gmail.com     #602 797 473
Reper Usługi Geodezyjne i Budowlane Adam Kotulski #         adam.kotulski@wp.pl     #605 854 817
Marek Bartoszewski Usługi Geodezyjne #         marek.bartoszewski78@gmail.com     #693 828 943
Geodezja Warmińska Michał Semczyszyn #         biuro@geodezja-warminska.pl     #512 442 632
Geo-Next Usługi Geodezyjne Marcin Dudzik #         marcin_dudzik@wp.pl     #504 992 057
Michał Mucha Biuro Geodezji Pomiary Podziały #         biurogeodezji@o2.pl     #504 146 657
Biuro Usług Geodezyjno Kartograficznych Geomiar s.c. S. Majcher, A. Majcher #         geomiar@op.pl     #(41) 386 22 56
Janusz Muszyński Firma Geodezyjno-Informatyczna #         fgi@home.pl     #502 128 119
Pomorskie Centrum Obsługi Inwestycji Sp. z o.o. #         pomorskie.centrum.inwestycji@gmail.com     #695 308 467
Robert Kasprzak Geodeta Uprawniony #         kontakt@geodeta-jaroslaw.pl     #603 509 197
Biuro Geodezyjne W. Tutka, P. Wróbel #         piotrek545@wp.pl     #603 300 869
Kancelaria Geodezyjna s.c. #         kancelaria.geodezyjna@wp.pl     #693 799 992
Piotr Chojnacki Geodezja #         geodezjastargard@gmail.com     #609 416 757
Art-geo Daniel Różalski #         art.geo@op.pl     #602 458 697
Geodeta Uprawniony Barbara Trzmielewska Spółka z ograniczoną odpowiedzialnością #         basia-geodeta@punkt.pl     #604 090 975
NIWA Geodeta inż. Barbara Kloske #         barbarakloske@wp.pl     #512 867 750
Geometr Usługi Geologiczne i Geodezyjne Agnieszka Pierzchała-Brudka #         geometr@wp.pl     #606 114 608
Adam Bednarz Pracownia geodezyjno projektowa #         geodeta_brzeg@wp.pl     #604 485 172
Torgeo Usługi geodezyjne Krzysztof Szewczyk #         torgeo@o2.pl     #534 934 330
Przedsiębiorstwo Geologiczno Wiertnicze Pawlak #         biuro@pgwpawlak.pl     #601 991 098
Ager Usługi Geodezyjne Waldemar Kubas #         biuro.ager@gmail.com     #667 306 146
Elipsa s.c. PU Paweł Barczyk Katarzyna Sobolewska #         elipsa.sobolewska@gmail.com     #503 198 050
Geospec Usługi Geodezyjne i Kartograficzne Sławomir Brożyna #         sbrozyna@op.pl     #509 871 086
Malmar FHU Mariusz Malewski #         malmar@op.pl     #500 077 110
Gd Geodezja Usługi geodezyjne Grzegorz Domański #         gdgeodeta@gmail.com     #888 508 336
Europejskie Centrum Bezpieczeństwa Pracy #         szkolenia-bhp@wp.pl     #(55) 233 56 80
PGK Geodeta i Usługi Geodezyjne, Mapy #         pgk.maciejbrzosko@vp.pl     #(22) 737 01 66
Geocentr Sp. z o.o. Usługi Geodezyjne i Kartograficzne #         poczta@geocentr.pl     #(59) 834 32 13
Geodesy Przedsiębiorstwo Geodezyjno-Techniczne Marcin Szozda #         geodesypoland@gmail.com     #510 741 871
Krzysztof Dmochowski Usługi Geodezyjne #         kdmochowski@poczta.onet.pl     #604 973 735
Piotr Kozub Usługi Geodezyjne #         piotr-kozub@wp.pl     #604 812 619
Emcgeo Zakład usługowy Maciej Ćwiertnia #         emcgeo@emcgeo.pl     #605 493 519
Tzgeo Tomasz Zarzycki Geodeta #         tzgeo@wp.pl     #508 505 059
Lenbud Szymon Lenartowicz - usługi remontowo budowlane #         simisim.lenartowicz@gmail.com     #601 385 517
Geobud Zakład Usług Geodezyjno-Kartograficznych Jan Jesionek, Ireneusz Jesionek #         radomgeobud@wp.pl     #604 287 629
Studiogeo Artur Baran #         geodezja.studiogeo@gmail.com     #790 380 070
Barański Usługi Geodezyjne inż. Grzegorz Barański #         baranski.geodeta@gmail.com     #660 182 511
Geodezja PR Piotr Rejmer #         geodezja.pyrzyce@gmail.com     #513 055 045
Geowox Usługi Geodezyjne Piotr Wołoszyn #         geowox.geodezja@gmail.com     #880 818 123
Ageos Usługi Geodezyjne Piszczek Piotr #         biuro@ageos.pl     #(18) 262 23 53
Barbara Twardowska Usługi geodezyjne #         basia.twardowska@wp.pl     #600 048 417
Geo-Grafik Usługi Geodezyjne i Projektowe Bartosz Duchowski #         kontakt@geo-grafik.com.pl     #660 783 966
Limbus Usługi Geodezyjne Szymon Sławiński #         slawszym@poczta.onet.pl     #661 939 252
Geoprojekt Marta Kozłowska #         geoprojekt.ilawa@gmail.com     #795 800 801
Geo-Serwis Janusz Żurowski #         geoserwis@polskieprodukty.pl     #(58) 322 11 67
Radosław Lato Profi-Geo Profesjonalne Usługi Geodezyjne #         radek.lato@gmail.com     #609 655 996
Geobest Sp. z o.o. #         biuro@geobest.waw.pl     #509 761 321
Usługi Geodezyjne Paweł Szczepanik #         pawelszczep@o2.pl     #604 631 620
Podlaska Grupa Inżynieryjna Sp. z o.o. #         biuro@pginz.pl     #793 987 079
Przedsiębiorstwo Robót Drogowych Drokam Tomasz Wojtas #         aniadrokam@pro.onet.pl     #502 651 125
Dariusz Śliwak - Usługi Geodezyjne #         suwak5@gazeta.pl     #505 503 129
GPS-Projekt Usługi Geodezyjne Piotr Łabno #         p.labno@interia.pl     #608 491 069
Hewa Henryk Wyrzykowski #         hwyrzykowski@hewa.waw.pl     #601 225 843
Geo-Plan Usługi Geodezyjne Marcin Wrzesiński #         biuro@geoplanrypin.pl     #(54) 444 06 59
Mariusz Czobot Usługi geodezyjne #         mariuszczobot@gmail.com     #(32) 737 14 42
Pracownia Geodezyjna Geo-Mar Marcin Drabik #         marcindrabik51@interia.pl     #668 251 231
Geodezja Włodzimierz Dawidziuk #         geodezja.wdawidziuk@gmail.com     #665 454 107
Nova Grzegorz Mazur #         novageodezja@gmail.com     #692 436 895
Atlas Geo Przedsiębiorstwo handlowo-usługowe mgr inż. Marek Partyka #         mpartyka.geodezja@gmail.com     #696 091 512
Ziółkowski&amp;Bogusz Geodezja #         biuro@bz-geodezja.pl     #889 205 543
Geonet Usługi Geodezyjno-Kartograficzne Arkadiusz Rudzki #         geo.net@interia.pl     #602 782 942
Kruk Geo Biuro Usług Geodezyjnych Robert Kruk ##608 171 672
Sławomir Grześkowiak Usługi geodezyjno kartograficzne #         sgrzeskowiak@wp.pl     #601 932 126
Tomasz Kłopotowski Usługi Geodezyjne #         libella.klasyfikacja@gmail.com     #604 629 060
Usługi Geodezyjne Geopoint Inż. Łukasz Bogin #         geopoint@geopoznan.pl     #697 884 281
Usługi Geodezyjne Tomasz Kałużny Tyczenie obiektów budowlanych #         kaluznytomasz21@live.com     #883 959 693
Geocare Łukasz Góral, Dorota Czernek-Zaczyńska S.C. #         lukasz.goral@geocare.pl     #515 238 186
Geopoint Łukasz Smolarz #         geo-point@wp.pl     #502 503 230
Geocel Usługi Geodezyjno-Kartograficzne Sylwester Gronostaj #         s.gronostaj@geocel.pl     #609 158 811
Erable Sp. z o.o. #         biuro@erable.pl     #602 597 397
Geotom Usługi Geodezyjne i Kartograficzne Tomasz Kobielarz #         tomek.kobielarz@gmail.com     #507 734 756
GeoKart Biuro geodezji Łukasz Maroszek #         geokart.wloclawek@wp.pl     #534 666 347
Rel-Bud Sp. z o.o. #         biuro@uniserv.krakow.pl     #501 451 393
Mirosław Goławski Usługi geodezyjno kartograficzne #         geodezja.golawski@gmail.com     #602 135 929
Pracownia Geodezyjna Global-Geo Grzegorz Kapuściński #         globalgeo.elk@gmail.com     #602 478 181
Andrzej Szulta Sp. z o.o. #         szulta.a@wp.pl     #570 054 664
Biuro Usług Geodezyjnych Przemysław Mądrowski #         geomad@op.pl     #609 440 799
GeoGT Usługi Geodezyjne Grzegorz Kurasiewicz #         geodezjageogt@gmail.com     #665 779 767
Włodzimierz Ptaszyński Geodezja #         geodezja-wp@wp.pl     #502 272 728
Geokart Usługi Geodezyjne i Kartograficzne Krzysztof Kotarski #         kotarski.krzysztof@wp.pl     #505 070 094
Geomatics Usługi Geodezyjne inż. Mateusz Żelazny #         matizelazny@gmail.com     #721 326 079
Biuro geodezyjno - gleboznawcze mgr Wojciech Markowicz #         w.markowicz@wp.pl     #604 781 576
Geodis mgr inż. Ilona Stanisławczyk #         ilonastanislawczyk@wp.pl     #(14) 652 31 28
Bet-System Spółka z ograniczoną odpowiedzialnością #         l.chomicz@betsystem.com.pl     #505 170 468
Geodeta Uprawniony inżynier Jarosław Marcyniuk #         jaroslaw.marcyniuk@wp.pl     #664 789 178
Geo-Top Przedsiębiorstwo Usługowo-Handlowe Usługi Geodezyjno-Kartograficzne i Szacowanie Nieruchomości Arkadiusz Bieliński Wykonujemy Dokładne Pomiary Geodezyjne i Kartograficzne #         geotop.ciechanow@o2.pl     #502 508 360
Glob-K &amp; Z #         biuro@glob-kz.pl     #696 456 490
Geolex Olejnik Paweł #         geolex@orange.pl     #501 551 388
Geoszpak Geodezja i geologia Marek Szpakowski #         geoszpak@o2.pl     #605 920 710
Mili Metr Usługi geodezyjno-kartograficze Daniel Siemiątkowski #         d.siemiatkowski@gmail.com     #607 079 763
Geox Przedsiębiorstwo Usług Geodezyjnych Przemysław Dybiec #         dybiec@op.pl     #609 556 419
Geodezja i Kartografia Piotr Leowski #         gikleowski@op.pl     #667 106 443
Geodezja - Bartłomiej Kowalewski #         kowalewski.geodezja@gmail.com     #516 079 252
Usługi Geodezyjne Geo-Pel Michał Pełdiak #         biuro@geopel.pl     #782 795 615
Libelka Sylwia Mazur Usługi Geodezyjne #         biuro@libelka.pl     #791 534 837
Usługi Geodezyjne Jacek Kanadys #         jacekkanadys85@wp.pl     #516 136 668
Geodeta Geo Fox Usługi Geodezyjne Łukasz Chałupnik #         geofox.biuro@gmail.com     #505 448 996
Skowron Andrzej. Usługi geodezyjno - kartograficzne #         biuro@geodeta-wadowice.pl     #501 653 264
Geodezja Mgr Inż. Fabiański Roman #         geodezja_fabianski@wp.pl     #601 631 448
Geocentrum usługi geodezyjno - projektowe pomiary geodezyjne podziały #         geodezjalukow@gmail.com     #504 246 852
Geosar Usługi Geodezyjne Mateusz Sarzyński #         geosar.geodezja@gmail.com     #601 598 779
Geoglob Krzysztof Piórko Usługi Geodezyjno-Kartograficzne #         geoglobsiedlce@gmail.com     #608 357 739
Ma-Pa Geodezja Mariusz Paluszek #         ma-pa.geodezja@outlook.com     #785 966 206
Iwona Pływacz Usługi Geodezyjne #         geodezja.siedlce@wp.pl     #506 867 145
Proj-Map Usługi Geodezyjne Mgr Inż Katarzyna Kawałek #         kkawalek@interia.pl     #506 489 612
Asgeo Usługi Geodezyjne Joanna Kociołek #         biuro.asgeo@gmail.com     #665 088 733
Geo-Mar Mariusz Tracz #         geodeta.geomar@gmail.com     #782 915 955
Robert Burnat Usługi Geodezyjne #         geodezja.robertburnat@op.pl     #695 677 059
Jan Krecak Usługi Geodezyjne #         geodezjakrecak@wp.pl     #601 848 246
Andrzej Jan Konior Usługi Geodezyjno-Kartograficzne #         andkonior@wp.pl     #601 379 872
Mateusz Czajka Usługi Geodezyjne #         kontakt@geodeta-lancut.pl     #693 218 794
Geodeta Uprawniony Hubert Dominik Usługi Geodezyjne #         lucek07@gmail.com     #604 488 530
Leszek Stępień Geodezja Projektowanie Usługi #         geodezja.stepien@gmail.com     #(18) 353 53 45
Sławomir Dębowski Usługi geodezyjne i projektowe #         geodeta-debowski@wp.pl     #603 690 688
Geo-Kompleks Geodezja, Klasyfikacja gruntów, Wycena nieruchomości Agnieszka Grzesiak #         geo-kompleks@wp.pl     #573 971 131
Jan Faron Usługi Geodezyjne i Kartograficzne #         geodezjafaron@gmail.com     #664 701 385
Geobud Rafał Szczepański #         szczepanski-rafal@wp.pl     #504 256 668
Gis Geodezja Erwin Peschka #         info@gis-geodezja.pl     #609 186 726
Usługi Geodezyjne Kołosiński Dariusz #         bozenakolosinska@wp.pl     #508 146 410
Geomix Geodezja i Klasyfikacja Gruntów Sławomir Jargiło #         s.jargilogeo@gmail.com     #692 151 609
Kujawski-Nosecki-Kuniccy Przedsiębiorstwo Usług Geodezyjno-Kartograficznych #         geodezjapruszkow@wp.pl     #(22) 728 88 26
Geobis Igor Sito #         i.sito@geobis.pl     #533 102 800
Usługi Geodezyjne Anna Dakowicz #         dakowiczanna@interia.pl     #515 868 159
Geo-Inwest Usługi Geodezyjne Piotr Iskrzak #         pracownia@geo-inwest.pulawy.pl     #604 079 528
Geoprojekt Biuro Usług Geodezyjnych mgr inż. Paweł Wiśniowski #         office@geoprojekt-zywiec.pl     #(33) 861 23 79
Z.Geo Jacek Zdun #         zgeo@wp.pl     #609 509 934
Geosystem Usługi geodezyjne i kartograficzne Krzysztof Wątor #         geodezja.geosystem@gmail.com     #608 277 107
Gobir Boguś Karol Boguś #         geodezja@gobirbogus.pl     #607 329 989
F.U.H. Vertical #         biuro@vertical.krakow.pl     #506 556 464
Geomar Marcin Baranowski #         baranowski.geodeta@o2.pl     #602 715 720
Grzegorz Jońca, mgr inż, Usługi geodezyjne #         grzegorzjonca@gmail.com     #516 428 773
Geodezja Chojnowski Usługi Geodezyjne Inż. Mariusz Chojnowski #         geodezjachojnowski@gmail.com     #660 494 717
Geo-Graf Andrzej Kleszcz #         biuro@geograf.info.pl     #692 219 921
Geo-Mat Konin inż Mateusz Sipa #         geomatkonin@gmail.com     #725 596 750
Ap Line Pracownia Projektowa Andrzej Papież #         andrzej.papiez81@gmail.com     #668 151 329
Geopractic Usługi Geodezyjne Michał Kołosiński #         mkolosinski.geo@gmail.com     #668 417 722
