##test
Restauracja-Motel Zielony Dworek #         restauracja@zielony-dworek.pl     #(81) 825 08 80
Pod Wietrzną Górą Pensjonat Ryszard Łaziński ##(81) 881 06 40
Prima Hotel i Restauracja #         primahotel@primahotel.pl     #(81) 886 46 15
Rapa Hotel Barbara Rapa ##(82) 576 68 87
Relax Paweł Furtak #         motelrelax@interia.pl     #(81) 854 58 24
RestArt G. Borowy i Wspólnicy Sp.j. ##(84) 686 01 18
Restauracja Fiesta-Motel Z. Biela M. Stachyra S.C. ##(81) 533 43 63
Robert Konstantynowicz Hotel Junior S.C. Robert i Marcin Konstantynowicz #         hotel.junior@xl.wp.pl     #501 461 503
Roztocze Sp. z o.o. Przedsiębiorstwo Turystyczne ##(84) 639 20 01
Roztocze Sp. z o.o. Przedsiębiorstwo Turystyczne Hotel Jubilat #         hotelrenesans@hoga.pl     #Oceń firmę i napisz o niej opinię:
Rusałka Restauracja #         recepcja@hotelrusalka.com.pl     #(82) 571 70 65
Sawana Sp.j. Przedsiębiorstwo Handlowo-Usługowe E. H. Wiechnik Dworek Vesaria ##601 297 286
Senator Hotel ##(84) 638 99 90
Stacja Paliw Na Błoniach L. Bednarz J. Zawadzki Sp.j. ##(84) 616 69 40
Strażnica Ośrodek Turystyczno-Wypoczynkowo-Szkoleniowy Marzena Steć #         marzenastec2@poczta.onet.pl     #Oceń firmę i napisz o niej opinię:
Struk Beata Manhatan ##(83) 352 27 80
Termy Pałacowe SPA Nałęczów #         termypalacowe@spanaleczow.pl     #(81) 501 44 56
U Andrzeja Hotel ##(83) 341 34 86
U Chłopa Hotel ##503 814 915
Villa Aurelia #         recepcja@villaaurelia.pl     #(81) 501 41 26
Villa Hotel Sp. z o.o. ##(81) 501 41 26
Wenus Hotel ##(81) 882 04 00
Willowa Hotel Restauracja ##(81) 440 88 88
Wojto Hotel ##(84) 616 71 65
Wostim Sp.j. Hotel Lotos #         wostim@pro.onet.pl     #(83) 341 11 93
WWW.KWASKOWA.PL #         kontakt@kwaskowa.pl     #(81) 882 13 30
Zajazd Gibson Ośrodek Szkoleniowo-Wypoczynkowy Radosław Lipert #         zajazdgibson@interia.pl     #(82) 591 53 47
Zajazd pod Kasztanami ##(81) 750 03 90
Zajazd Regionalny Hotel Restauracja ##(81) 585 01 56
Zajazd Wiedeński Jolanta Osak ##(83) 413 17 65
Zajazd Wincentów #         jkosacki@poczta.onet.pl     #503 079 527
Zamek w Janowie Podlaskim #         recepcja@zamekjanowpodlaski.pl     #(83) 379 08 50
Wojciech Pałkowski Usługi stolarskie #         wojciech@palkowski.pl     #605 048 162
Divio Hotelik Dla Zwierząt Dogoterapia Szkolenia Dla Psów Psi Fryzjer #         violettarycaj@interia.pl     #502 025 350
Gastro-Ogród s.c. Krzysztof Kurowski, Iwona Kurowska #         krzysztof.kurowski66@tlen.pl     #607 372 413
Publimar Sp.j. #         biuro@publimar.pl     #(81) 747 12 84
Hurtownia Popularna S.K.A. #         lublin@popularna.pl     #(81) 748 20 46
Zabij Szkodnika Łukasz Tylec #         lublin@zabijszkodnika.pl     #518 722 655
Florexpol Bis Spółka z Ograniczoną Odpowiedzialnością #         info@basen.com.pl     #(81) 746 79 40
BalonParty Dekoracje ślubne, Dekoracje urodzinowe #         info@wedding-shop.pl     #668 320 722
Geo-Inwest Usługi Geodezyjne Piotr Iskrzak #         pracownia@geo-inwest.pulawy.pl     #604 079 528
Nadar Dźwigi i Części Zamienne Dariusz Nawrot #         phu.nadar@poczta.onet.pl     #602 718 718
Agroturystyka Modrzewiowy Zdrój #         drewnolit@tlen.pl     #570 400 728
Jan Dworzycki Biuro projektowe #         janekdworzycki@interia.pl     #503 052 668
Wschód Stępniak Sp.k. #         wschod.ochrona@interia.pl     #662 784 965
Raczkiewicz Firma Anna Raczkiewicz #         bill.art@raczkiewicz.pl     #603 114 789
Gobi #         biuro@gobi.lublin.pl     #(81) 534 04 12
Megast s.c. Jacek Saran, Tomasz Błaszczuk, Marcin Jankowski #         marcin.jankowski@megast.pl     #(81) 759 70 61
Archit House Sebastian Gałęzowski #         archithouse@wp.pl     #608 324 258
Amor Dom Akademicki #         botanik@hektor.umcs.lublin.pl     #(81) 533 82 91
Audio-Hotel Sp. z o.o. ##(81) 468 88 33
AZORIA Domowy Hotel dla Psów Sylwia Rybaczuk ##662 475 632
Basen Hotelu Bohema #         rezerwacja@villabohema.pl     #(81) 881 07 56
Bis Hotele Bis Sp. z o.o. Sp.k. #         przemyslawsurmacz@interia.eu     #Oceń firmę i napisz o niej opinię:
Bursa Międzyszkolna #         bursa_01@poczta.onet.pl     #(84) 696 26 51
Bursa Międzyszkolna Nr 1 #         bursa1zamosc@poczta.onet.pl     #(84) 639 57 17
Bursa Międzyszkolna nr 2 #         bursanr2zamosc@interia.pl     #(84) 641 24 86
Bursa Sercanek w Lublinie ##(81) 533 21 50
Bursa Szkolna #         bursalubartow@interia.pl     #(81) 855 24 89
Bursa Szkolna #         bursaszkolna1@gazeta.pl     #(83) 344 38 78
Bursa Szkolna nr 1 #         bursanr1@op.pl     #(81) 533 05 30
Bursa Szkolna nr 3 #         bursa3lublin@wp.pl     #(81) 533 03 16
Bursa Szkolna nr 5 ##(81) 744 44 22
Bursa Szkolna nr 7 w Lublinie ##601 708 512
Bursa Szkolna w Kraśniku #         bursakrasnik@wp.pl     #Oceń firmę i napisz o niej opinię:
Bursa Szkolna Zespołu Wychowania i Pomocy Psychologiczno-Pedagogicznej nr 2 ##(82) 565 78 09
Bursa Szkół Artystycznych w Lublinie ##502 595 311
Bursa Zgromadzenia Zakonnego Sióstr Sercanek ##(81) 533 21 50
Dom Fundacji Jana Pawła II ##(81) 532 20 59
Hotel Avion Małgorzata Małek ##(81) 751 72 85
Hotel Duo**** SPA &amp; Wellness w Janowie Lubelskim #         recepcja@duojanow.pl     #(15) 872 28 80
Hotel i Restauracja Staropolska ##(84) 665 09 04
Hotel Kamena Sp. z o.o. ##(82) 565 64 01
Hotel Korona Wojciech Malczewski ##(84) 639 91 91
Hotel Piano #         recepcja@piano.lublin.pl     #(81) 458 38 33
Hotel Pod Dębami #         rezerwacje@hotelpoddebami.pl     #(83) 375 16 32
Hotel Restauracja Focus ##(81) 527 00 44
Hotel Restauracja Nowy Dwór Bogucin #         dwor@dworlwowski.pl     #(81) 501 82 51
Hotel Royal Botanic Krzysztof Król ##605 543 872
Hotel Siedlisko na Rozdrożu #         siedliskoagroturystyczne@wp.pl     #508 228 352
Hotel Skrzetuski ##605 668 630
Hotel Tukan Piotr Oleszczak #         piotroleszczak@hoteltukan.pl     #(81) 820 37 90
Hotel za Młynem Bożena Grzywaczewska #         bozenagrzywaczewska5@gmail.com     #Oceń firmę i napisz o niej opinię:
Hotel Zacisze Lyudmyla Pasichnyk ##603 379 966
Hotele A.Podolska i Spółka Sp.j. ##506 131 164
Hotele Kazimierz Sp. z o.o. ##(81) 889 09 08
Internat Garnizonowy ##(82) 565 02 88
Internat Liceum Ogólnokształcącego ##(82) 572 11 13
Internat przy Liceum Ogólnokształcącym ##(84) 683 33 51
Internat przy Specjalnym Ośrodku Szkolno-Wychowawczym im. J. Korczaka #         soswtl@poczta.onet.pl     #(84) 665 94 40
Internat Specjalnego Ośrodka Szkolno-Wychowawczego dla Dzieci i Młodzieży Niesłyszącej i Słabo Słyszącej im. Jana Pawła II ##(81) 744 16 96
Internat w Specjalnym Ośrodku Szkolno-Wychowawczym im. J. Doroszewskiej #         soswkrasnystaw@poczta.onet.pl     #(82) 576 23 08
Internat Zespołu Szkół Budowlanych ##(82) 563 18 91
Internat Zespołu Szkół im. K. Kickiego ##(81) 866 76 74
Internat Zespołu Szkół nr 3 im. M. Rataja ##(84) 665 04 95
Internat Zespołu Szkół Zawodowych ##(15) 872 06 15
Jarosław Jagiełło Far-Dom; Hotel Jagiełło #         far-dom@wp.pl     #515 158 546
Kasieńka Hotel Restauracja #         kassienka6@o2.pl     #(84) 696 28 42
Kasieńka Hotel Usługi Hotelarskie Paweł Biernat #         kasienka@o2.pl     #(84) 696 28 42
Parnas S.C. Robert Jung Jacek Warda Bar Helios ##(81) 533 20 44
Pensjonat dla Koni Aneta Strzelczyk ##691 962 212
Politechnika Lubelska Dom Pracy Twórczej #         politechnika@pollub.pl     #(81) 881 00 53
Polonia Sp. z o.o. ##603 202 263
PW Agro-Hurt Secession Hotel Anna Kowalczyk #         hotel@secessionhotel.pl     #(81) 752 02 60
Regionalne Centrum Kształcenia Ustawicznego Bursa Szkolna #         rcku-wych@o2.pl     #(81) 886 37 05
Restauracja Nowe Miasto (w Hotelu Jubilat) Ekran Ewa Kruk ##(84) 638 76 41
Ru.Hotel Sp. z o.o. w Organizacji #         ru.hotel@op.pl     #516 406 996
Szałas Zakład Przetwórstwa Mięsnego i Piekarniczego Restauracja - Hotel Józef Wojczuk ##(84) 697 06 80
Szkolne Schronisko Młodzieżowe #         recepcja@ssmpulawy.pl     #(81) 886 33 67
Szkolne Schronisko Młodzieżowe ##(81) 828 50 23
Szkolne Schronisko Młodzieżowe przy Zespole Szkół Zawodowych w Janowie Lubelskim #         zszjanow@o2.pl     #(15) 872 40 15
Szkolne Schronisko Młodzieżowe przy Zespole Wychowania i Pomocy Psychologiczno-Pedagogicznej ##(82) 565 73 69
Szkolne Schronisko Młodzieżowe w Urszulinie ##(82) 571 30 10
Szkolne Schronisko Młodzieżowe We Włodawie ##665 505 675
TBV Hotele Sp. z o.o. ##(81) 533 55 44
U Murki Hotelik Katarzyna Mróz ##(15) 875 23 96
U Reksa Domowy Hotel Dla Psów Magdalena Olszowa-Szlachta #         hotelureksa@op.pl     #609 493 664
Uniwersytet Przyrodniczy w Lublinie Dom Studencki Brodway ##(81) 461 07 32
Uniwersytet Przyrodniczy w Lublinie Dom Studencki Cebion ##(81) 441 14 81
Uniwersytet Przyrodniczy w Lublinie Dom Studencki Dodek ##(81) 441 14 19
Uniwersytet Przyrodniczy w Lublinie Dom Studencki Eskulap ##(81) 441 14 86
Uniwersytet Przyrodniczy w Lublinie Dom Studencki Manhattan ##(81) 461 07 36
Villa Aurelia Hotel &amp; Spa Andrzej Sawicki ##508 250 242
Wojskowa Agencja Mieszkaniowa Internat ##(81) 883 37 60
